date,time,quarter,department,day,team,targeted_productivity,smv,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/3/2015,12:33:52,Quarter1,finishing ,Saturday,8,0.8,2.9,960,0,0.0,0,0,8.0,0.628333333
1/3/2015,09:43:51,Quarter1,finishing ,Saturday,7,0.8,3.94,960,0,0.0,0,0,8.0,0.6253125
1/4/2015,15:32:56,Quarter1,finishing ,Sunday,3,0.75,4.15,1560,0,0.0,0,0,8.0,0.991388889
1/4/2015,07:50:58,Quarter1,finishing ,Sunday,9,0.8,3.94,960,0,0.0,0,0,8.0,0.931645833
1/4/2015,06:12:54,Quarter1,finishing ,Sunday,1,0.8,3.94,960,0,0.0,0,0,8.0,0.915229167
1/4/2015,23:34:26,Quarter1,sweing,Sunday,6,0.8,11.61,6975,50,0.0,0,0,31.0,0.879714482
1/4/2015,06:24:19,Quarter1,finishing ,Sunday,4,0.8,3.94,6600,0,0.0,0,0,20.0,0.861679012
1/4/2015,12:35:35,Quarter1,sweing,Sunday,9,0.8,26.16,7080,60,0.0,0,0,59.0,0.850569492
1/4/2015,16:01:19,Quarter1,sweing,Sunday,7,0.8,25.9,7020,60,0.0,0,0,56.5,0.850436438
1/4/2015,22:50:32,Quarter1,sweing,Sunday,8,0.8,25.9,6780,45,0.0,0,0,56.5,0.850345133
1/4/2015,11:35:49,Quarter1,sweing,Sunday,4,0.8,28.08,4260,50,0.0,0,0,55.5,0.800598058
1/4/2015,19:18:43,Quarter1,sweing,Sunday,1,0.8,26.16,7080,63,0.0,0,0,59.0,0.800318644
1/4/2015,22:54:04,Quarter1,sweing,Sunday,2,0.8,28.08,6660,50,0.0,0,0,55.5,0.800237838
1/4/2015,20:40:14,Quarter1,sweing,Sunday,12,0.8,11.61,6975,50,0.0,0,0,31.0,0.800030199
1/4/2015,16:44:33,Quarter1,finishing ,Sunday,2,0.8,3.94,960,0,0.0,0,0,8.0,0.792104167
1/4/2015,06:45:40,Quarter1,finishing ,Sunday,10,0.7,3.94,4320,0,0.0,0,0,18.0,0.759228395
1/4/2015,20:16:18,Quarter1,sweing,Sunday,11,0.75,19.31,6480,45,0.0,0,0,54.0,0.750348457
1/4/2015,16:03:56,Quarter1,sweing,Sunday,3,0.75,19.87,6600,45,0.0,0,0,55.0,0.75024303
1/4/2015,11:47:08,Quarter1,sweing,Sunday,10,0.7,28.08,6900,40,0.0,0,0,57.5,0.699965217
1/4/2015,07:03:06,Quarter1,finishing ,Sunday,8,0.8,2.9,960,0,0.0,0,0,8.0,0.682708333
1/4/2015,16:11:18,Quarter1,finishing ,Sunday,7,0.8,2.9,960,0,0.0,0,0,8.0,0.667604167
1/4/2015,10:47:24,Quarter1,sweing,Sunday,5,0.7,45.67,6960,26,0.0,0,0,58.0,0.603432184
1/4/2015,15:56:42,Quarter1,finishing ,Sunday,11,0.75,4.15,960,0,0.0,0,0,8.0,0.345833333
1/5/2015,19:04:45,Quarter1,finishing ,Monday,1,0.8,3.94,1920,0,0.0,0,0,8.0,0.961059028
1/5/2015,21:16:33,Quarter1,finishing ,Monday,11,0.8,3.94,2400,0,0.0,0,0,10.0,0.939513889
1/5/2015,07:10:21,Quarter1,finishing ,Monday,4,0.8,3.94,3840,0,0.0,0,0,16.0,0.893663194
1/5/2015,16:06:52,Quarter1,finishing ,Monday,3,0.75,4.15,1920,0,0.0,0,0,8.0,0.875390625
1/5/2015,16:15:03,Quarter1,sweing,Monday,9,0.8,26.16,7080,75,0.0,0,0,59.0,0.850569492
1/5/2015,08:35:27,Quarter1,finishing ,Monday,9,0.8,2.9,1920,0,0.0,0,0,8.0,0.820833333
1/5/2015,14:17:27,Quarter1,finishing ,Monday,2,0.8,3.94,960,0,0.0,0,0,8.0,0.804416667
1/5/2015,19:43:24,Quarter1,sweing,Monday,7,0.8,25.9,6780,50,0.0,0,0,56.5,0.800684366
1/5/2015,08:48:27,Quarter1,sweing,Monday,8,0.8,25.9,6780,38,0.0,0,0,56.5,0.800684366
1/5/2015,22:32:03,Quarter1,sweing,Monday,1,0.8,26.16,7080,63,0.0,0,0,59.0,0.800318644
1/5/2015,21:28:46,Quarter1,sweing,Monday,11,0.8,19.31,4800,50,0.0,0,0,55.0,0.800250962
1/5/2015,09:59:45,Quarter1,sweing,Monday,6,0.8,11.61,7200,50,0.0,0,0,32.0,0.800246011
1/5/2015,19:29:27,Quarter1,sweing,Monday,12,0.8,11.61,7200,50,0.0,0,0,32.0,0.800246011
1/5/2015,14:04:26,Quarter1,sweing,Monday,2,0.8,28.08,6900,50,0.0,0,0,57.5,0.800076522
1/5/2015,22:31:47,Quarter1,sweing,Monday,4,0.8,28.08,6900,50,0.0,0,0,57.5,0.800076522
1/5/2015,08:25:43,Quarter1,finishing ,Monday,10,0.75,2.9,960,0,0.0,0,0,8.0,0.763375
1/5/2015,09:21:10,Quarter1,finishing ,Monday,5,0.6,2.9,960,0,0.0,0,0,8.0,0.759270833
1/5/2015,16:21:38,Quarter1,sweing,Monday,10,0.75,28.08,7020,45,0.0,0,0,58.5,0.7504
1/5/2015,10:24:09,Quarter1,sweing,Monday,3,0.75,19.87,6600,45,0.0,0,0,55.0,0.75024303
1/5/2015,22:51:21,Quarter1,finishing ,Monday,7,0.8,3.94,960,0,0.0,0,0,8.0,0.676666667
1/5/2015,21:02:33,Quarter1,finishing ,Monday,8,0.8,2.9,960,0,0.0,0,0,8.0,0.664583333
1/5/2015,06:28:10,Quarter1,sweing,Monday,5,0.6,21.98,6960,23,0.0,0,0,58.0,0.600028736
1/6/2015,21:29:43,Quarter1,finishing ,Tuesday,4,0.8,3.94,4440,0,0.0,0,0,18.0,0.966781346
1/6/2015,17:57:56,Quarter1,finishing ,Tuesday,1,0.8,3.94,1440,0,0.0,0,0,8.0,0.936496212
1/6/2015,13:37:58,Quarter1,finishing ,Tuesday,3,0.75,4.15,1800,0,0.0,0,0,10.0,0.899166667
1/6/2015,09:47:45,Quarter1,finishing ,Tuesday,11,0.8,4.15,2700,0,0.0,0,0,15.0,0.888686869
1/6/2015,21:38:12,Quarter1,finishing ,Tuesday,9,0.8,3.94,1440,0,0.0,0,0,8.0,0.858143939
1/6/2015,17:11:09,Quarter1,sweing,Tuesday,1,0.8,26.16,10620,75,0.0,0,0,59.0,0.850502311
1/6/2015,19:53:35,Quarter1,sweing,Tuesday,9,0.8,26.16,10620,75,0.0,0,0,59.0,0.850502311
1/6/2015,15:33:09,Quarter1,finishing ,Tuesday,10,0.75,3.94,1440,0,0.0,0,0,8.0,0.809640152
1/6/2015,10:36:37,Quarter1,finishing ,Tuesday,2,0.8,3.94,1440,0,0.0,0,0,8.0,0.805909091
1/6/2015,06:06:04,Quarter1,sweing,Tuesday,2,0.8,28.08,10350,50,0.0,0,0,57.5,0.800594466
1/6/2015,14:05:42,Quarter1,sweing,Tuesday,4,0.8,28.08,10350,50,0.0,0,0,57.5,0.800594466
1/6/2015,10:47:09,Quarter1,sweing,Tuesday,3,0.8,19.87,9900,50,0.0,0,0,55.0,0.800273829
1/6/2015,20:22:38,Quarter1,sweing,Tuesday,12,0.8,11.61,5310,50,0.0,0,0,31.5,0.800140969
1/6/2015,18:14:15,Quarter1,sweing,Tuesday,7,0.8,25.9,10170,38,0.0,0,0,56.5,0.800128721
1/6/2015,21:27:45,Quarter1,sweing,Tuesday,8,0.8,25.9,10170,38,0.0,0,0,56.5,0.800128721
1/6/2015,19:14:59,Quarter1,sweing,Tuesday,6,0.8,11.61,4470,38,0.0,0,0,31.5,0.80007657
1/6/2015,17:00:09,Quarter1,sweing,Tuesday,10,0.75,28.08,10530,45,0.0,0,0,58.5,0.750545455
1/6/2015,16:57:46,Quarter1,sweing,Tuesday,11,0.75,19.31,9900,45,0.0,0,0,55.0,0.750057851
1/6/2015,10:21:09,Quarter1,finishing ,Tuesday,8,0.8,2.9,1440,0,0.0,0,0,8.0,0.681060606
1/6/2015,08:43:45,Quarter1,sweing,Tuesday,5,0.65,21.98,10440,35,0.0,0,0,58.0,0.649983281
1/6/2015,11:02:23,Quarter1,finishing ,Tuesday,7,0.8,2.9,1440,0,0.0,0,0,8.0,0.61625
1/7/2015,21:20:25,Quarter1,finishing ,Wednesday,1,0.8,3.94,1440,0,0.0,0,0,8.0,0.951420455
1/7/2015,22:19:10,Quarter1,finishing ,Wednesday,9,0.8,3.94,1440,0,0.0,0,0,8.0,0.880530303
1/7/2015,15:39:31,Quarter1,sweing,Wednesday,1,0.8,26.16,10620,75,0.0,0,0,59.0,0.850502311
1/7/2015,07:11:40,Quarter1,sweing,Wednesday,9,0.8,26.16,10620,75,0.0,0,0,59.0,0.850502311
1/7/2015,14:22:11,Quarter1,sweing,Wednesday,8,0.8,25.9,10170,60,0.0,0,0,56.5,0.850136766
1/7/2015,08:45:06,Quarter1,finishing ,Wednesday,3,0.75,4.15,2700,0,0.0,0,0,15.0,0.83
1/7/2015,10:47:42,Quarter1,finishing ,Wednesday,4,0.8,3.94,4440,0,0.0,0,0,18.0,0.827186544
1/7/2015,07:15:46,Quarter1,finishing ,Wednesday,2,0.8,3.94,1440,0,0.0,0,0,8.0,0.813371212
1/7/2015,09:06:03,Quarter1,finishing ,Wednesday,10,0.75,3.94,1440,0,0.0,0,0,8.0,0.805909091
1/7/2015,08:37:31,Quarter1,finishing ,Wednesday,7,0.8,2.9,1440,0,0.0,0,0,8.0,0.804640152
1/7/2015,08:02:24,Quarter1,sweing,Wednesday,2,0.8,28.08,10350,63,0.0,0,0,57.5,0.800594466
1/7/2015,12:07:35,Quarter1,sweing,Wednesday,4,0.8,28.08,10350,50,0.0,0,0,57.5,0.800594466
1/7/2015,19:52:12,Quarter1,sweing,Wednesday,6,0.8,11.41,5490,50,0.0,0,0,30.5,0.800343766
1/7/2015,09:29:42,Quarter1,sweing,Wednesday,3,0.8,19.87,9900,50,0.0,0,0,55.0,0.800273829
1/7/2015,20:11:48,Quarter1,sweing,Wednesday,12,0.8,11.61,5670,50,0.0,0,0,31.5,0.800246753
1/7/2015,22:30:30,Quarter1,sweing,Wednesday,7,0.8,25.9,10170,50,0.0,0,0,56.5,0.800128721
1/7/2015,15:24:07,Quarter1,sweing,Wednesday,10,0.75,28.08,10530,69,0.0,0,0,58.5,0.8
1/7/2015,16:56:30,Quarter1,sweing,Wednesday,5,0.7,21.98,9720,40,0.0,0,0,58.0,0.700480831
1/7/2015,19:16:23,Quarter1,finishing ,Wednesday,8,0.8,2.9,1440,0,0.0,0,0,8.0,0.681060606
1/7/2015,23:20:34,Quarter1,finishing ,Wednesday,6,0.8,2.9,1800,0,0.0,0,0,10.0,0.666515152
1/7/2015,16:41:05,Quarter1,sweing,Wednesday,11,0.8,31.83,9900,40,0.0,0,0,55.0,0.412119835
1/7/2015,18:07:57,Quarter1,finishing ,Wednesday,5,0.7,4.15,1440,0,0.0,0,0,8.0,0.330113636
1/8/2015,06:31:41,Quarter2,finishing ,Thursday,1,0.8,3.94,1440,0,0.0,0,0,8.0,0.947689394
1/8/2015,18:39:46,Quarter2,finishing ,Thursday,4,0.8,3.94,12600,0,0.0,0,0,20.0,0.919905405
1/8/2015,06:23:57,Quarter2,sweing,Thursday,9,0.8,26.16,10620,88,0.0,0,0,59.0,0.900215716
1/8/2015,11:09:16,Quarter2,finishing ,Thursday,9,0.8,3.94,1440,0,0.0,0,0,8.0,0.891723485
1/8/2015,16:07:02,Quarter2,sweing,Thursday,1,0.8,26.16,10620,75,0.0,0,0,59.0,0.850502311
1/8/2015,08:26:34,Quarter2,sweing,Thursday,4,0.8,28.08,10530,75,0.0,0,0,58.5,0.850181818
1/8/2015,16:08:15,Quarter2,sweing,Thursday,7,0.8,25.9,10170,60,0.0,0,0,56.5,0.850136766
1/8/2015,18:32:42,Quarter2,sweing,Thursday,8,0.8,25.9,10170,60,0.0,0,0,56.5,0.850136766
1/8/2015,15:25:48,Quarter2,finishing ,Thursday,2,0.8,3.94,1440,0,0.0,0,0,8.0,0.835757576
1/8/2015,21:55:18,Quarter2,finishing ,Thursday,5,0.7,4.15,3840,0,0.0,0,0,8.0,0.821354167
1/8/2015,06:47:45,Quarter2,sweing,Thursday,2,0.8,28.08,10050,63,0.0,0,0,58.5,0.800497246
1/8/2015,17:25:05,Quarter2,sweing,Thursday,3,0.8,19.87,9900,50,0.0,0,0,55.0,0.800273829
1/8/2015,21:48:05,Quarter2,sweing,Thursday,12,0.8,11.61,15120,63,0.0,0,0,31.5,0.800107143
1/8/2015,12:20:30,Quarter2,sweing,Thursday,6,0.8,11.41,14640,50,0.0,0,0,30.5,0.800024932
1/8/2015,19:41:46,Quarter2,sweing,Thursday,10,0.75,28.08,10530,69,0.0,0,0,58.5,0.8
1/8/2015,21:34:44,Quarter2,finishing ,Thursday,10,0.75,3.94,1440,0,0.0,0,0,8.0,0.779791667
1/8/2015,18:30:28,Quarter2,finishing ,Thursday,8,0.8,2.9,1440,0,0.0,0,0,8.0,0.735984848
1/8/2015,13:39:06,Quarter2,finishing ,Thursday,3,0.75,4.15,2160,0,0.0,0,0,12.0,0.712626263
1/8/2015,13:21:48,Quarter2,finishing ,Thursday,7,0.8,2.9,1440,0,0.0,0,0,8.0,0.681060606
1/8/2015,21:17:05,Quarter2,finishing ,Thursday,11,0.8,4.15,900,0,0.0,0,0,5.0,0.515606061
1/8/2015,16:43:11,Quarter2,sweing,Thursday,11,0.35,12.52,25920,38,0.0,0,0,54.0,0.349951389
1/8/2015,13:26:28,Quarter2,sweing,Thursday,5,0.7,42.41,10260,0,0.0,0,0,57.0,0.233705476
1/10/2015,08:01:35,Quarter2,finishing ,Saturday,1,0.8,3.94,2160,0,0.0,0,0,8.0,0.985
1/10/2015,17:49:33,Quarter2,finishing ,Saturday,3,0.75,4.15,2760,0,0.0,0,0,12.0,0.930340376
1/10/2015,07:30:04,Quarter2,finishing ,Saturday,4,0.8,3.94,6000,0,0.0,0,0,20.0,0.911589744
1/10/2015,13:24:14,Quarter2,finishing ,Saturday,9,0.8,3.94,1440,0,0.0,0,0,8.0,0.858143939
1/10/2015,23:55:53,Quarter2,sweing,Saturday,9,0.8,26.16,10620,75,0.0,0,0,59.0,0.851174114
1/10/2015,20:59:08,Quarter2,sweing,Saturday,7,0.8,25.9,10170,60,0.0,0,0,56.5,0.850136766
1/10/2015,16:07:57,Quarter2,sweing,Saturday,8,0.8,25.9,10170,60,0.0,0,0,56.5,0.850136766
1/10/2015,08:44:04,Quarter2,finishing ,Saturday,10,0.8,3.94,1440,0,0.0,0,0,8.0,0.846950758
1/10/2015,14:02:10,Quarter2,finishing ,Saturday,11,0.8,4.15,1440,0,0.0,0,0,8.0,0.817424242
1/10/2015,06:50:40,Quarter2,finishing ,Saturday,2,0.8,3.94,1440,0,0.0,0,0,8.0,0.817102273
1/10/2015,18:58:18,Quarter2,sweing,Saturday,4,0.8,28.08,10440,63,0.0,0,0,58.0,0.801028213
1/10/2015,19:13:47,Quarter2,sweing,Saturday,2,0.8,28.08,10350,63,0.0,0,0,57.5,0.800594466
1/10/2015,08:12:38,Quarter2,sweing,Saturday,12,0.8,11.61,4710,50,0.0,0,0,31.5,0.800346445
1/10/2015,21:52:41,Quarter2,sweing,Saturday,6,0.8,11.41,5490,50,0.0,0,0,30.5,0.800343766
1/10/2015,10:10:18,Quarter2,sweing,Saturday,1,0.8,26.16,10620,63,0.0,0,0,59.0,0.800117103
1/10/2015,16:10:15,Quarter2,sweing,Saturday,10,0.8,28.08,10530,63,0.0,0,0,58.5,0.8
1/10/2015,13:00:00,Quarter2,sweing,Saturday,3,0.75,19.87,7080,45,0.0,0,0,56.0,0.750098351
1/10/2015,08:58:02,Quarter2,sweing,Saturday,11,0.5,12.52,9540,38,0.0,0,0,53.0,0.673245283
1/10/2015,11:30:34,Quarter2,finishing ,Saturday,7,0.8,2.9,1440,0,0.0,0,0,8.0,0.670075758
1/10/2015,07:59:00,Quarter2,finishing ,Saturday,8,0.8,2.9,1440,0,0.0,0,0,8.0,0.628882576
1/10/2015,12:56:08,Quarter2,sweing,Saturday,5,0.5,20.79,7680,0,0.0,0,0,56.0,0.388007813
1/10/2015,17:31:12,Quarter2,finishing ,Saturday,5,0.5,4.15,1440,0,0.0,0,0,8.0,0.337973485
1/11/2015,19:32:59,Quarter2,finishing ,Sunday,3,0.75,4.15,1440,0,0.0,0,0,8.0,0.93532197
1/11/2015,10:43:54,Quarter2,finishing ,Sunday,4,0.8,3.94,3600,0,0.0,0,0,20.0,0.925643939
1/11/2015,12:15:19,Quarter2,sweing,Sunday,9,0.8,26.16,10620,88,0.0,0,0,59.0,0.900215716
1/11/2015,10:58:41,Quarter2,finishing ,Sunday,1,0.8,3.94,1440,0,0.0,0,0,8.0,0.873068182
1/11/2015,08:17:25,Quarter2,finishing ,Sunday,9,0.8,3.94,1440,0,0.0,0,0,8.0,0.858143939
1/11/2015,19:05:57,Quarter2,sweing,Sunday,1,0.8,26.16,10620,75,0.0,0,0,59.0,0.850502311
1/11/2015,20:18:17,Quarter2,sweing,Sunday,7,0.8,25.9,10170,45,0.0,0,0,56.5,0.850136766
1/11/2015,19:08:36,Quarter2,sweing,Sunday,8,0.8,25.9,10170,60,0.0,0,0,56.5,0.850136766
1/11/2015,20:53:12,Quarter2,finishing ,Sunday,10,0.8,3.94,1440,0,0.0,0,0,8.0,0.828295455
1/11/2015,07:42:59,Quarter2,finishing ,Sunday,2,0.8,3.94,1440,0,0.0,0,0,8.0,0.820833333
1/11/2015,13:14:09,Quarter2,sweing,Sunday,6,0.8,11.41,5490,50,0.0,0,0,30.5,0.800343766
1/11/2015,22:52:13,Quarter2,sweing,Sunday,12,0.8,11.61,5670,50,0.0,0,0,31.5,0.800246753
1/11/2015,06:49:31,Quarter2,sweing,Sunday,2,0.8,28.08,10530,63,0.0,0,0,58.5,0.8
1/11/2015,13:01:59,Quarter2,sweing,Sunday,10,0.8,28.08,10530,38,0.0,0,0,58.5,0.8
1/11/2015,21:48:08,Quarter2,sweing,Sunday,3,0.8,19.87,6420,0,0.0,0,0,55.0,0.690182815
1/11/2015,18:10:42,Quarter2,finishing ,Sunday,11,0.8,4.15,1440,0,0.0,0,0,8.0,0.668087121
1/11/2015,22:38:12,Quarter2,finishing ,Sunday,8,0.8,2.9,1440,0,0.0,0,0,8.0,0.653598485
1/11/2015,06:45:17,Quarter2,finishing ,Sunday,5,0.5,4.15,1440,0,0.0,0,0,8.0,0.609138258
1/11/2015,11:47:43,Quarter2,sweing,Sunday,11,0.6,12.52,9540,30,0.0,0,0,53.0,0.600229846
1/11/2015,09:25:07,Quarter2,finishing ,Sunday,6,0.8,2.9,1440,0,0.0,0,0,8.0,0.597348485
1/11/2015,16:21:13,Quarter2,finishing ,Sunday,7,0.8,2.9,1440,0,0.0,0,0,8.0,0.590435606
1/11/2015,12:47:57,Quarter2,sweing,Sunday,4,0.8,50.48,10440,0,0.0,0,0,58.0,0.473134796
1/11/2015,20:07:10,Quarter2,sweing,Sunday,5,0.6,20.79,7980,0,0.0,0,0,57.0,0.452979626
1/12/2015,18:24:40,Quarter2,finishing ,Monday,1,0.8,3.94,1440,0,0.0,0,0,8.0,0.955151515
1/12/2015,14:51:29,Quarter2,finishing ,Monday,4,0.35,4.3,3240,0,0.0,0,0,18.0,0.942213805
1/12/2015,10:50:57,Quarter2,finishing ,Monday,3,0.8,4.15,1800,0,0.0,0,0,10.0,0.905454545
1/12/2015,23:00:45,Quarter2,finishing ,Monday,2,0.8,3.94,1440,0,0.0,0,0,8.0,0.880530303
1/12/2015,08:48:34,Quarter2,finishing ,Monday,9,0.8,3.94,1440,0,0.0,0,0,8.0,0.858143939
1/12/2015,06:01:14,Quarter2,sweing,Monday,1,0.8,26.16,8220,75,0.0,0,0,59.0,0.850522167
1/12/2015,11:28:04,Quarter2,sweing,Monday,9,0.8,26.16,10620,75,0.0,0,0,59.0,0.850502311
1/12/2015,20:25:11,Quarter2,sweing,Monday,7,0.8,25.9,10170,60,0.0,0,0,56.5,0.850136766
1/12/2015,20:23:43,Quarter2,sweing,Monday,8,0.8,25.9,10170,60,0.0,0,0,56.5,0.850136766
1/12/2015,22:39:27,Quarter2,finishing ,Monday,6,0.8,2.9,1440,0,0.0,0,0,8.0,0.817424242
1/12/2015,10:09:30,Quarter2,finishing ,Monday,5,0.65,4.15,1440,0,0.0,0,0,8.0,0.809564394
1/12/2015,22:24:21,Quarter2,sweing,Monday,3,0.8,19.87,9900,0,0.0,0,0,55.0,0.800273829
1/12/2015,07:22:47,Quarter2,sweing,Monday,6,0.8,11.41,5670,50,0.0,0,0,31.5,0.800181818
1/12/2015,11:21:11,Quarter2,sweing,Monday,12,0.8,11.61,4470,50,0.0,0,0,31.5,0.80007657
1/12/2015,19:34:41,Quarter2,sweing,Monday,2,0.8,28.08,10530,63,0.0,0,0,58.5,0.8
1/12/2015,11:29:53,Quarter2,finishing ,Monday,8,0.8,2.9,1440,0,0.0,0,0,8.0,0.725
1/12/2015,10:33:57,Quarter2,sweing,Monday,10,0.8,50.48,6930,45,0.0,0,0,58.5,0.688557555
1/12/2015,22:35:18,Quarter2,sweing,Monday,5,0.65,20.79,8460,0,0.0,0,0,59.0,0.650040783
1/12/2015,10:37:13,Quarter2,sweing,Monday,11,0.65,12.52,9540,44,0.0,0,0,53.0,0.64998056
1/12/2015,12:03:53,Quarter2,finishing ,Monday,7,0.8,2.9,1440,0,0.0,0,0,8.0,0.648106061
1/12/2015,17:56:58,Quarter2,finishing ,Monday,11,0.8,4.15,1440,0,0.0,0,0,8.0,0.640577652
1/12/2015,11:51:19,Quarter2,sweing,Monday,4,0.35,22.4,7350,0,0.0,0,0,51.5,0.35063299
1/12/2015,07:40:27,Quarter2,finishing ,Monday,10,0.8,3.94,1440,0,0.0,0,0,8.0,0.24625
1/13/2015,09:24:51,Quarter2,finishing ,Tuesday,4,0.35,4.3,2160,0,0.0,0,0,12.0,0.952020202
1/13/2015,07:47:25,Quarter2,finishing ,Tuesday,1,0.8,3.94,1440,0,0.0,0,0,2.0,0.951420455
1/13/2015,14:39:09,Quarter2,finishing ,Tuesday,10,0.8,3.94,5400,0,0.0,0,0,20.0,0.912766667
1/13/2015,07:55:35,Quarter2,finishing ,Tuesday,3,0.8,4.15,1620,0,0.0,0,0,9.0,0.901262626
1/13/2015,20:38:01,Quarter2,finishing ,Tuesday,9,0.8,3.94,1440,0,0.0,0,0,8.0,0.858143939
1/13/2015,08:08:48,Quarter2,sweing,Tuesday,1,0.8,26.16,10620,75,0.0,0,0,59.0,0.850502311
1/13/2015,07:46:42,Quarter2,sweing,Tuesday,9,0.8,26.16,10620,75,0.0,0,0,59.0,0.850502311
1/13/2015,19:14:36,Quarter2,sweing,Tuesday,8,0.8,25.9,10260,60,0.0,0,0,57.0,0.850252525
1/13/2015,16:40:42,Quarter2,sweing,Tuesday,7,0.8,25.9,10170,60,0.0,0,0,56.5,0.850136766
1/13/2015,16:45:47,Quarter2,finishing ,Tuesday,5,0.65,4.15,1440,0,0.0,0,0,8.0,0.821354167
